9831.139 ********************************************************
9831.207 ** Session beginning Thursday November 03, 2022 03:08:38 AM **
9831.214 ** ExperimentBuilder Project : s20_1 **
9831.219 ** ExperimentBuilder Version : 2.3.38 **
9831.224 ** ExperimentBuilder Build   : Jul 30 2020 **
9831.229 ********************************************************
9831.236 TRACKER_TIME 0 9763607.196
10197.864 INITIALIZE INITIALIZE
10205.152 Calibration Calibration (BEGIN) 
10217.206 Calibration Calibration
10218.204 Calibration Calibration (BEGIN) 
10218.919 Calibration Calibration (BEGIN) 
10219.643 Calibration Calibration (BEGIN) 
10220.294 Calibration Calibration (BEGIN) 
10220.912 Calibration Calibration (BEGIN) 
10221.520 Calibration Calibration (BEGIN) 
10222.101 Calibration Calibration (BEGIN) 
10222.712 Calibration Calibration (BEGIN) 
10223.288 Calibration Calibration (BEGIN) 
10223.859 Calibration Calibration (BEGIN) 
10224.432 Calibration Calibration (BEGIN) 
10225.009 Calibration Calibration (BEGIN) 
10225.581 Calibration Calibration (BEGIN) 
10226.152 Calibration Calibration (BEGIN) 
10226.722 Calibration Calibration (BEGIN) 
10227.304 Calibration Calibration (BEGIN) 
10228.070 Calibration Calibration (BEGIN) 
10228.861 Calibration Calibration (BEGIN) 
10229.662 Calibration Calibration (BEGIN) 
10230.463 Calibration Calibration (BEGIN) 
10231.249 Calibration Calibration (BEGIN) 
10232.055 Calibration Calibration (BEGIN) 
10232.908 Calibration Calibration (BEGIN) 
10233.643 Calibration Calibration (BEGIN) 
10234.444 Calibration Calibration (BEGIN) 
10235.240 Calibration Calibration (BEGIN) 
10235.995 Calibration Calibration (BEGIN) 
10236.759 Calibration Calibration (BEGIN) 
10237.533 Calibration Calibration (BEGIN) 
10238.290 Calibration Calibration (BEGIN) 
10239.070 Calibration Calibration (BEGIN) 
10239.826 Calibration Calibration (BEGIN) 
10240.582 Calibration Calibration (BEGIN) 
10241.371 Calibration Calibration (BEGIN) 
10242.132 Calibration Calibration (BEGIN) 
10242.859 Calibration Calibration (BEGIN) 
10243.591 Calibration Calibration (BEGIN) 
10244.317 Calibration Calibration (BEGIN) 
10245.053 Calibration Calibration (BEGIN) 
10245.789 Calibration Calibration (BEGIN) 
10246.510 Calibration Calibration (BEGIN) 
10247.207 Calibration Calibration (BEGIN) 
10247.867 Calibration Calibration (BEGIN) 
10248.550 Calibration Calibration (BEGIN) 
10249.279 Calibration Calibration (BEGIN) 
10250.036 Calibration Calibration (BEGIN) 
10250.808 Calibration Calibration (BEGIN) 
10251.533 Calibration Calibration (BEGIN) 
10252.275 Calibration Calibration (BEGIN) 
10253.000 Calibration Calibration (BEGIN) 
10253.724 Calibration Calibration (BEGIN) 
10254.459 Calibration Calibration (BEGIN) 
10255.189 Calibration Calibration (BEGIN) 
10255.914 Calibration Calibration (BEGIN) 
10256.651 Calibration Calibration (BEGIN) 
10257.376 Calibration Calibration (BEGIN) 
10258.108 Calibration Calibration (BEGIN) 
10258.843 Calibration Calibration (BEGIN) 
10259.574 Calibration Calibration (BEGIN) 
10260.304 Calibration Calibration (BEGIN) 
10261.045 Calibration Calibration (BEGIN) 
10261.767 Calibration Calibration (BEGIN) 
10262.482 Calibration Calibration (BEGIN) 
10263.188 Calibration Calibration (BEGIN) 
10263.840 Calibration Calibration (BEGIN) 
10264.566 Calibration Calibration (BEGIN) 
10265.304 Calibration Calibration (BEGIN) 
10266.031 Calibration Calibration (BEGIN) 
10266.719 Calibration Calibration (BEGIN) 
10267.491 Calibration Calibration (BEGIN) 
10268.220 Calibration Calibration (BEGIN) 
10268.945 Calibration Calibration (BEGIN) 
10269.681 Calibration Calibration (BEGIN) 
10270.409 Calibration Calibration (BEGIN) 
10271.138 Calibration Calibration (BEGIN) 
10271.875 Calibration Calibration (BEGIN) 
10272.603 Calibration Calibration (BEGIN) 
10273.326 Calibration Calibration (BEGIN) 
10274.063 Calibration Calibration (BEGIN) 
10274.790 Calibration Calibration (BEGIN) 
10275.520 Calibration Calibration (BEGIN) 
10276.259 Calibration Calibration (BEGIN) 
10276.987 Calibration Calibration (BEGIN) 
10277.717 Calibration Calibration (BEGIN) 
10278.456 Calibration Calibration (BEGIN) 
10279.205 Calibration Calibration (BEGIN) 
10279.827 Calibration Calibration (BEGIN) 
10280.571 Calibration Calibration (BEGIN) 
10281.301 Calibration Calibration (BEGIN) 
10282.016 Calibration Calibration (BEGIN) 
10282.752 Calibration Calibration (BEGIN) 
10283.413 Calibration Calibration (BEGIN) 
10284.123 Calibration Calibration (BEGIN) 
10284.870 Calibration Calibration (BEGIN) 
10285.605 Calibration Calibration (BEGIN) 
10286.339 Calibration Calibration (BEGIN) 
10287.088 Calibration Calibration (BEGIN) 
10287.760 Calibration Calibration (BEGIN) 
10288.433 Calibration Calibration (BEGIN) 
10289.110 Calibration Calibration (BEGIN) 
10289.787 Calibration Calibration (BEGIN) 
10290.463 Calibration Calibration (BEGIN) 
10291.140 Calibration Calibration (BEGIN) 
10291.809 Calibration Calibration (BEGIN) 
10292.482 Calibration Calibration (BEGIN) 
10293.166 Calibration Calibration (BEGIN) 
10293.841 Calibration Calibration (BEGIN) 
10294.508 Calibration Calibration (BEGIN) 
10295.108 Calibration Calibration (BEGIN) 
10295.798 Calibration Calibration (BEGIN) 
10296.474 Calibration Calibration (BEGIN) 
10297.141 Calibration Calibration (BEGIN) 
10297.825 Calibration Calibration (BEGIN) 
10298.493 Calibration Calibration (BEGIN) 
10299.168 Calibration Calibration (BEGIN) 
10299.903 Calibration Calibration (BEGIN) 
10300.610 Calibration Calibration (BEGIN) 
10301.269 Calibration Calibration (BEGIN) 
10301.956 Calibration Calibration (BEGIN) 
10302.624 Calibration Calibration (BEGIN) 
10303.295 Calibration Calibration (BEGIN) 
10303.972 Calibration Calibration (BEGIN) 
10304.644 Calibration Calibration (BEGIN) 
10305.305 Calibration Calibration (BEGIN) 
10305.982 Calibration Calibration (BEGIN) 
10306.641 Calibration Calibration (BEGIN) 
10307.305 Calibration Calibration (BEGIN) 
10307.970 Calibration Calibration (BEGIN) 
10308.642 Calibration Calibration (BEGIN) 
10309.307 Calibration Calibration (BEGIN) 
10309.973 Calibration Calibration (BEGIN) 
10310.656 Calibration Calibration (BEGIN) 
10311.315 Calibration Calibration (BEGIN) 
10311.981 Calibration Calibration (BEGIN) 
10312.667 Calibration Calibration (BEGIN) 
10313.334 Calibration Calibration (BEGIN) 
10313.994 Calibration Calibration (BEGIN) 
10314.662 Calibration Calibration (BEGIN) 
10315.331 Calibration Calibration (BEGIN) 
10315.995 Calibration Calibration (BEGIN) 
10316.702 Calibration Calibration (BEGIN) 
10317.377 Calibration Calibration (BEGIN) 
10318.045 Calibration Calibration (BEGIN) 
10318.715 Calibration Calibration (BEGIN) 
10319.385 Calibration Calibration (BEGIN) 
10320.049 Calibration Calibration (BEGIN) 
10320.734 Calibration Calibration (BEGIN) 
10321.408 Calibration Calibration (BEGIN) 
10322.104 Calibration Calibration (BEGIN) 
10322.781 Calibration Calibration (BEGIN) 
10323.460 Calibration Calibration (BEGIN) 
10324.128 Calibration Calibration (BEGIN) 
10324.823 Calibration Calibration (BEGIN) 
10325.494 Calibration Calibration (BEGIN) 
10326.171 Calibration Calibration (BEGIN) 
10326.779 Calibration Calibration (BEGIN) 
10327.452 Calibration Calibration (BEGIN) 
10328.126 Calibration Calibration (BEGIN) 
10328.793 Calibration Calibration (BEGIN) 
10329.475 Calibration Calibration (BEGIN) 
10330.144 Calibration Calibration (BEGIN) 
10330.812 Calibration Calibration (BEGIN) 
10331.498 Calibration Calibration (BEGIN) 
10332.169 Calibration Calibration (BEGIN) 
10332.842 Calibration Calibration (BEGIN) 
10333.474 Calibration Calibration (BEGIN) 
10334.117 Calibration Calibration (BEGIN) 
10334.784 Calibration Calibration (BEGIN) 
10335.458 Calibration Calibration (BEGIN) 
10336.130 Calibration Calibration (BEGIN) 
10336.800 Calibration Calibration (BEGIN) 
10337.469 Calibration Calibration (BEGIN) 
10338.178 Calibration Calibration (BEGIN) 
10338.848 Calibration Calibration (BEGIN) 
10339.531 Calibration Calibration (BEGIN) 
10340.207 Calibration Calibration (BEGIN) 
10340.878 Calibration Calibration (BEGIN) 
10341.460 Calibration Calibration (BEGIN) 
10342.230 Calibration Calibration (BEGIN) 
10342.901 Calibration Calibration (BEGIN) 
10343.569 Calibration Calibration (BEGIN) 
10344.245 Calibration Calibration (BEGIN) 
10344.918 Calibration Calibration (BEGIN) 
10345.602 Calibration Calibration (BEGIN) 
10346.273 Calibration Calibration (BEGIN) 
10346.935 Calibration Calibration (BEGIN) 
10347.617 Calibration Calibration (BEGIN) 
10348.288 Calibration Calibration (BEGIN) 
10348.975 Calibration Calibration (BEGIN) 
10349.630 Calibration Calibration (BEGIN) 
10350.313 Calibration Calibration (BEGIN) 
10350.986 Calibration Calibration (BEGIN) 
10351.643 Calibration Calibration (BEGIN) 
10352.304 Calibration Calibration (BEGIN) 
10352.972 Calibration Calibration (BEGIN) 
10353.646 Calibration Calibration (BEGIN) 
