14511.406 ********************************************************
14511.428 ** Session beginning Wednesday September 07, 2022 12:08:27 AM **
14511.430 ** ExperimentBuilder Project : p12_1 **
14511.431 ** ExperimentBuilder Version : 2.3.38 **
14511.432 ** ExperimentBuilder Build   : Jul 30 2020 **
14511.434 ********************************************************
14511.436 TRACKER_TIME 0 6855674.497
14872.307 INITIALIZE INITIALIZE
14880.830 Calibration Calibration (BEGIN) 
14892.036 Calibration Calibration
14893.130 Calibration Calibration (BEGIN) 
14894.123 Calibration Calibration (BEGIN) 
14895.093 Calibration Calibration (BEGIN) 
14896.024 Calibration Calibration (BEGIN) 
14896.961 Calibration Calibration (BEGIN) 
14897.920 Calibration Calibration (BEGIN) 
14898.860 Calibration Calibration (BEGIN) 
14899.794 Calibration Calibration (BEGIN) 
14900.744 Calibration Calibration (BEGIN) 
14901.674 Calibration Calibration (BEGIN) 
14902.600 Calibration Calibration (BEGIN) 
14903.551 Calibration Calibration (BEGIN) 
14904.500 Calibration Calibration (BEGIN) 
14905.493 Calibration Calibration (BEGIN) 
14906.558 Calibration Calibration (BEGIN) 
14907.572 Calibration Calibration (BEGIN) 
14908.596 Calibration Calibration (BEGIN) 
14909.614 Calibration Calibration (BEGIN) 
14910.637 Calibration Calibration (BEGIN) 
14911.642 Calibration Calibration (BEGIN) 
14912.672 Calibration Calibration (BEGIN) 
14913.672 Calibration Calibration (BEGIN) 
14914.690 Calibration Calibration (BEGIN) 
14915.690 Calibration Calibration (BEGIN) 
14916.723 Calibration Calibration (BEGIN) 
14917.739 Calibration Calibration (BEGIN) 
14918.770 Calibration Calibration (BEGIN) 
14919.775 Calibration Calibration (BEGIN) 
14920.799 Calibration Calibration (BEGIN) 
14921.814 Calibration Calibration (BEGIN) 
14922.842 Calibration Calibration (BEGIN) 
14923.854 Calibration Calibration (BEGIN) 
14924.842 Calibration Calibration (BEGIN) 
14925.867 Calibration Calibration (BEGIN) 
14926.894 Calibration Calibration (BEGIN) 
14927.881 Calibration Calibration (BEGIN) 
14928.880 Calibration Calibration (BEGIN) 
14929.837 Calibration Calibration (BEGIN) 
14930.806 Calibration Calibration (BEGIN) 
14931.762 Calibration Calibration (BEGIN) 
14932.700 Calibration Calibration (BEGIN) 
14933.634 Calibration Calibration (BEGIN) 
14934.583 Calibration Calibration (BEGIN) 
14935.522 Calibration Calibration (BEGIN) 
14936.516 Calibration Calibration (BEGIN) 
14937.473 Calibration Calibration (BEGIN) 
14938.411 Calibration Calibration (BEGIN) 
14939.345 Calibration Calibration (BEGIN) 
14940.337 Calibration Calibration (BEGIN) 
14941.364 Calibration Calibration (BEGIN) 
14942.435 Calibration Calibration (BEGIN) 
14943.449 Calibration Calibration (BEGIN) 
14944.484 Calibration Calibration (BEGIN) 
14945.496 Calibration Calibration (BEGIN) 
14946.515 Calibration Calibration (BEGIN) 
14947.541 Calibration Calibration (BEGIN) 
14948.563 Calibration Calibration (BEGIN) 
14949.567 Calibration Calibration (BEGIN) 
14950.584 Calibration Calibration (BEGIN) 
14951.592 Calibration Calibration (BEGIN) 
14952.682 Calibration Calibration (BEGIN) 
14953.683 Calibration Calibration (BEGIN) 
14954.675 Calibration Calibration (BEGIN) 
14955.679 Calibration Calibration (BEGIN) 
14956.671 Calibration Calibration (BEGIN) 
14957.667 Calibration Calibration (BEGIN) 
14958.666 Calibration Calibration (BEGIN) 
14959.666 Calibration Calibration (BEGIN) 
14960.664 Calibration Calibration (BEGIN) 
14961.659 Calibration Calibration (BEGIN) 
14962.656 Calibration Calibration (BEGIN) 
14963.654 Calibration Calibration (BEGIN) 
14964.651 Calibration Calibration (BEGIN) 
14965.655 Calibration Calibration (BEGIN) 
14966.644 Calibration Calibration (BEGIN) 
14967.680 Calibration Calibration (BEGIN) 
14968.708 Calibration Calibration (BEGIN) 
14969.711 Calibration Calibration (BEGIN) 
14970.726 Calibration Calibration (BEGIN) 
14971.722 Calibration Calibration (BEGIN) 
14972.740 Calibration Calibration (BEGIN) 
14973.751 Calibration Calibration (BEGIN) 
14974.725 Calibration Calibration (BEGIN) 
14975.706 Calibration Calibration (BEGIN) 
14976.695 Calibration Calibration (BEGIN) 
14977.658 Calibration Calibration (BEGIN) 
14978.605 Calibration Calibration (BEGIN) 
14979.587 Calibration Calibration (BEGIN) 
14980.624 Calibration Calibration (BEGIN) 
14981.634 Calibration Calibration (BEGIN) 
14982.663 Calibration Calibration (BEGIN) 
14983.693 Calibration Calibration (BEGIN) 
14984.723 Calibration Calibration (BEGIN) 
14985.726 Calibration Calibration (BEGIN) 
14986.749 Calibration Calibration (BEGIN) 
14987.754 Calibration Calibration (BEGIN) 
14988.786 Calibration Calibration (BEGIN) 
14989.802 Calibration Calibration (BEGIN) 
14990.821 Calibration Calibration (BEGIN) 
14991.874 Calibration Calibration (BEGIN) 
14992.897 Calibration Calibration (BEGIN) 
14993.890 Calibration Calibration (BEGIN) 
14994.905 Calibration Calibration (BEGIN) 
14995.895 Calibration Calibration (BEGIN) 
14996.905 Calibration Calibration (BEGIN) 
14997.891 Calibration Calibration (BEGIN) 
14998.883 Calibration Calibration (BEGIN) 
14999.903 Calibration Calibration (BEGIN) 
15000.926 Calibration Calibration (BEGIN) 
15001.939 Calibration Calibration (BEGIN) 
15002.949 Calibration Calibration (BEGIN) 
15003.956 Calibration Calibration (BEGIN) 
15004.950 Calibration Calibration (BEGIN) 
15005.954 Calibration Calibration (BEGIN) 
15006.973 Calibration Calibration (BEGIN) 
15007.959 Calibration Calibration (BEGIN) 
15009.065 Calibration Calibration (BEGIN) 
15010.073 Calibration Calibration (BEGIN) 
15011.092 Calibration Calibration (BEGIN) 
15012.097 Calibration Calibration (BEGIN) 
15013.121 Calibration Calibration (BEGIN) 
15014.130 Calibration Calibration (BEGIN) 
15015.139 Calibration Calibration (BEGIN) 
15016.233 Calibration Calibration (BEGIN) 
15017.249 Calibration Calibration (BEGIN) 
15018.243 Calibration Calibration (BEGIN) 
15019.253 Calibration Calibration (BEGIN) 
15020.251 Calibration Calibration (BEGIN) 
15021.259 Calibration Calibration (BEGIN) 
15022.256 Calibration Calibration (BEGIN) 
15023.253 Calibration Calibration (BEGIN) 
15024.252 Calibration Calibration (BEGIN) 
15025.296 Calibration Calibration (BEGIN) 
15026.331 Calibration Calibration (BEGIN) 
15027.330 Calibration Calibration (BEGIN) 
15028.344 Calibration Calibration (BEGIN) 
15029.349 Calibration Calibration (BEGIN) 
15030.361 Calibration Calibration (BEGIN) 
15031.369 Calibration Calibration (BEGIN) 
15032.482 Calibration Calibration (BEGIN) 
15033.490 Calibration Calibration (BEGIN) 
15034.502 Calibration Calibration (BEGIN) 
15035.497 Calibration Calibration (BEGIN) 
15036.505 Calibration Calibration (BEGIN) 
15037.494 Calibration Calibration (BEGIN) 
15038.485 Calibration Calibration (BEGIN) 
15039.495 Calibration Calibration (BEGIN) 
15040.486 Calibration Calibration (BEGIN) 
15041.452 Calibration Calibration (BEGIN) 
15042.564 Calibration Calibration (BEGIN) 
15043.574 Calibration Calibration (BEGIN) 
15044.573 Calibration Calibration (BEGIN) 
15045.562 Calibration Calibration (BEGIN) 
15046.612 Calibration Calibration (BEGIN) 
15047.642 Calibration Calibration (BEGIN) 
15048.655 Calibration Calibration (BEGIN) 
15049.659 Calibration Calibration (BEGIN) 
15050.652 Calibration Calibration (BEGIN) 
15051.663 Calibration Calibration (BEGIN) 
15052.655 Calibration Calibration (BEGIN) 
15053.656 Calibration Calibration (BEGIN) 
15054.647 Calibration Calibration (BEGIN) 
15055.637 Calibration Calibration (BEGIN) 
15056.541 Calibration Calibration (BEGIN) 
15057.416 Calibration Calibration (BEGIN) 
15058.326 Calibration Calibration (BEGIN) 
15059.338 Calibration Calibration (BEGIN) 
15060.274 Calibration Calibration (BEGIN) 
15061.159 Calibration Calibration (BEGIN) 
15062.056 Calibration Calibration (BEGIN) 
15062.956 Calibration Calibration (BEGIN) 
15063.948 Calibration Calibration (BEGIN) 
15064.847 Calibration Calibration (BEGIN) 
15065.729 Calibration Calibration (BEGIN) 
15066.633 Calibration Calibration (BEGIN) 
15067.521 Calibration Calibration (BEGIN) 
15068.403 Calibration Calibration (BEGIN) 
15069.279 Calibration Calibration (BEGIN) 
15070.187 Calibration Calibration (BEGIN) 
15071.070 Calibration Calibration (BEGIN) 
15071.955 Calibration Calibration (BEGIN) 
15072.860 Calibration Calibration (BEGIN) 
15073.750 Calibration Calibration (BEGIN) 
15074.629 Calibration Calibration (BEGIN) 
15075.625 Calibration Calibration (BEGIN) 
15076.520 Calibration Calibration (BEGIN) 
15077.407 Calibration Calibration (BEGIN) 
15078.301 Calibration Calibration (BEGIN) 
15079.260 Calibration Calibration (BEGIN) 
15080.142 Calibration Calibration (BEGIN) 
15081.035 Calibration Calibration (BEGIN) 
