23383.010 ********************************************************
23384.328 ** Session beginning Thursday September 08, 2022 01:08:27 AM **
23384.338 ** ExperimentBuilder Project : p13_1 **
23384.344 ** ExperimentBuilder Version : 2.3.38 **
23384.349 ** ExperimentBuilder Build   : Jul 30 2020 **
23384.355 ********************************************************
23384.363 TRACKER_TIME 0 562621.749
23751.318 INITIALIZE INITIALIZE
23761.970 Calibration Calibration (BEGIN) 
23768.633 Calibration Calibration
23769.700 Calibration Calibration (BEGIN) 
23770.454 Calibration Calibration (BEGIN) 
23771.164 Calibration Calibration (BEGIN) 
23771.903 Calibration Calibration (BEGIN) 
23772.611 Calibration Calibration (BEGIN) 
23773.261 Calibration Calibration (BEGIN) 
23773.963 Calibration Calibration (BEGIN) 
23774.683 Calibration Calibration (BEGIN) 
23775.410 Calibration Calibration (BEGIN) 
23776.128 Calibration Calibration (BEGIN) 
23776.825 Calibration Calibration (BEGIN) 
23777.524 Calibration Calibration (BEGIN) 
23778.233 Calibration Calibration (BEGIN) 
23778.880 Calibration Calibration (BEGIN) 
23779.557 Calibration Calibration (BEGIN) 
23780.231 Calibration Calibration (BEGIN) 
23780.900 Calibration Calibration (BEGIN) 
23781.563 Calibration Calibration (BEGIN) 
23782.236 Calibration Calibration (BEGIN) 
23782.902 Calibration Calibration (BEGIN) 
23783.570 Calibration Calibration (BEGIN) 
23784.242 Calibration Calibration (BEGIN) 
23784.912 Calibration Calibration (BEGIN) 
23785.510 Calibration Calibration (BEGIN) 
23786.082 Calibration Calibration (BEGIN) 
23786.917 Calibration Calibration (BEGIN) 
23787.720 Calibration Calibration (BEGIN) 
23788.507 Calibration Calibration (BEGIN) 
23789.434 Calibration Calibration (BEGIN) 
23790.231 Calibration Calibration (BEGIN) 
23791.029 Calibration Calibration (BEGIN) 
23791.869 Calibration Calibration (BEGIN) 
23792.634 Calibration Calibration (BEGIN) 
23793.418 Calibration Calibration (BEGIN) 
23794.261 Calibration Calibration (BEGIN) 
23794.993 Calibration Calibration (BEGIN) 
23795.720 Calibration Calibration (BEGIN) 
23796.447 Calibration Calibration (BEGIN) 
23797.172 Calibration Calibration (BEGIN) 
23797.903 Calibration Calibration (BEGIN) 
23798.642 Calibration Calibration (BEGIN) 
23799.370 Calibration Calibration (BEGIN) 
23800.098 Calibration Calibration (BEGIN) 
23800.833 Calibration Calibration (BEGIN) 
23801.516 Calibration Calibration (BEGIN) 
23802.170 Calibration Calibration (BEGIN) 
23802.886 Calibration Calibration (BEGIN) 
23803.632 Calibration Calibration (BEGIN) 
23804.388 Calibration Calibration (BEGIN) 
23805.192 Calibration Calibration (BEGIN) 
23805.920 Calibration Calibration (BEGIN) 
23806.643 Calibration Calibration (BEGIN) 
23807.376 Calibration Calibration (BEGIN) 
23808.102 Calibration Calibration (BEGIN) 
23808.831 Calibration Calibration (BEGIN) 
23809.567 Calibration Calibration (BEGIN) 
23810.296 Calibration Calibration (BEGIN) 
23811.013 Calibration Calibration (BEGIN) 
23811.751 Calibration Calibration (BEGIN) 
23812.476 Calibration Calibration (BEGIN) 
23813.234 Calibration Calibration (BEGIN) 
23814.033 Calibration Calibration (BEGIN) 
23814.753 Calibration Calibration (BEGIN) 
23815.477 Calibration Calibration (BEGIN) 
23816.210 Calibration Calibration (BEGIN) 
23816.931 Calibration Calibration (BEGIN) 
23817.659 Calibration Calibration (BEGIN) 
23818.316 Calibration Calibration (BEGIN) 
23818.938 Calibration Calibration (BEGIN) 
23819.642 Calibration Calibration (BEGIN) 
23820.375 Calibration Calibration (BEGIN) 
23821.169 Calibration Calibration (BEGIN) 
23821.900 Calibration Calibration (BEGIN) 
23822.626 Calibration Calibration (BEGIN) 
23823.367 Calibration Calibration (BEGIN) 
23824.092 Calibration Calibration (BEGIN) 
23824.821 Calibration Calibration (BEGIN) 
23825.558 Calibration Calibration (BEGIN) 
23826.282 Calibration Calibration (BEGIN) 
23827.014 Calibration Calibration (BEGIN) 
23827.749 Calibration Calibration (BEGIN) 
23828.475 Calibration Calibration (BEGIN) 
23829.241 Calibration Calibration (BEGIN) 
23830.036 Calibration Calibration (BEGIN) 
23830.770 Calibration Calibration (BEGIN) 
23831.497 Calibration Calibration (BEGIN) 
