9768.318 ********************************************************
9769.565 ** Session beginning Thursday November 03, 2022 01:22:43 AM **
9769.575 ** ExperimentBuilder Project : s19_1 **
9769.580 ** ExperimentBuilder Version : 2.3.38 **
9769.585 ** ExperimentBuilder Build   : Jul 30 2020 **
9769.590 ********************************************************
9769.597 TRACKER_TIME 0 3409153.971
10136.084 INITIALIZE INITIALIZE
10146.629 Calibration Calibration (BEGIN) 
10155.659 Calibration Calibration
10156.641 Calibration Calibration (BEGIN) 
10157.278 Calibration Calibration (BEGIN) 
10157.893 Calibration Calibration (BEGIN) 
10158.512 Calibration Calibration (BEGIN) 
10159.124 Calibration Calibration (BEGIN) 
10159.745 Calibration Calibration (BEGIN) 
10160.340 Calibration Calibration (BEGIN) 
10160.997 Calibration Calibration (BEGIN) 
10161.690 Calibration Calibration (BEGIN) 
10162.383 Calibration Calibration (BEGIN) 
10163.085 Calibration Calibration (BEGIN) 
10163.779 Calibration Calibration (BEGIN) 
10164.455 Calibration Calibration (BEGIN) 
10165.129 Calibration Calibration (BEGIN) 
10165.796 Calibration Calibration (BEGIN) 
10166.404 Calibration Calibration (BEGIN) 
10166.999 Calibration Calibration (BEGIN) 
10167.632 Calibration Calibration (BEGIN) 
10168.298 Calibration Calibration (BEGIN) 
10168.965 Calibration Calibration (BEGIN) 
10169.630 Calibration Calibration (BEGIN) 
10170.442 Calibration Calibration (BEGIN) 
10171.238 Calibration Calibration (BEGIN) 
10171.939 Calibration Calibration (BEGIN) 
10172.742 Calibration Calibration (BEGIN) 
10173.551 Calibration Calibration (BEGIN) 
10174.345 Calibration Calibration (BEGIN) 
10175.145 Calibration Calibration (BEGIN) 
10175.942 Calibration Calibration (BEGIN) 
10176.731 Calibration Calibration (BEGIN) 
10177.493 Calibration Calibration (BEGIN) 
10178.244 Calibration Calibration (BEGIN) 
10179.004 Calibration Calibration (BEGIN) 
10179.688 Calibration Calibration (BEGIN) 
10180.445 Calibration Calibration (BEGIN) 
10181.166 Calibration Calibration (BEGIN) 
10181.913 Calibration Calibration (BEGIN) 
10182.634 Calibration Calibration (BEGIN) 
10183.360 Calibration Calibration (BEGIN) 
10184.096 Calibration Calibration (BEGIN) 
10184.822 Calibration Calibration (BEGIN) 
10185.549 Calibration Calibration (BEGIN) 
10186.283 Calibration Calibration (BEGIN) 
10186.977 Calibration Calibration (BEGIN) 
10187.742 Calibration Calibration (BEGIN) 
10188.491 Calibration Calibration (BEGIN) 
10189.258 Calibration Calibration (BEGIN) 
10189.990 Calibration Calibration (BEGIN) 
10190.731 Calibration Calibration (BEGIN) 
10191.466 Calibration Calibration (BEGIN) 
10192.197 Calibration Calibration (BEGIN) 
